"BRC20067"	"BRC20263"	"mean simulated MI"	"unadjusted P value"
"1"	"akt-2"	"akt-2"	NA	"< 0.00194931773879142"
"2"	"daf-2"	"daf-2"	NA	"< 0.00194931773879142"
"3"	"ist-1"	"ist-1"	NA	"< 0.00194931773879142"
"4"	NA	NA	NA	"< 0.00194931773879142"
"5"	NA	NA	NA	"< 0.00194931773879142"
"6"	NA	NA	NA	"< 0.00194931773879142"
"7"	NA	NA	NA	"< 0.00194931773879142"
"8"	NA	NA	NA	"< 0.00194931773879142"
"9"	NA	NA	NA	"< 0.00194931773879142"
"10"	NA	NA	NA	"< 0.00194931773879142"
"11"	NA	NA	NA	"< 0.00194931773879142"
