,chrom,start,end,pi,theta,td
0,X,1,10000,0.0005522290556415637,0.0010050957095294217,-1.2303233199489976
1,X,1001,11000,0.0007008853084732016,0.0012960444675510965,-1.2738482628784011
2,X,2001,12000,0.0008156715464717704,0.0015208685078405724,-1.29689709715291
3,X,3001,13000,0.0009362202858409205,0.0019043918706873253,-1.4358765696887281
4,X,4001,14000,0.0009373984580960159,0.001917616814233765,-1.4441059852152447
5,X,5001,15000,0.0009741757596979486,0.0019705165884195243,-1.4299428239209826
6,X,6001,16000,0.0009042576546522665,0.0018514920965015667,-1.443353774339808
7,X,7001,17000,0.0007128356914264241,0.001586993225572771,-1.5437277370324514
8,X,8001,18000,0.0006552544604931527,0.0013621691852832953,-1.4434784762116322
9,X,9001,19000,0.0006078540096862243,0.0012166948062724578,-1.383135575305387
10,X,10001,20000,0.00045050555658450193,0.0010315455966223013,-1.5407966154800927
11,X,11001,21000,0.0003062209351547904,0.0008067215563328254,-1.6660030592197932
12,X,12001,22000,0.0001992974372122567,0.0007141469515077471,-1.91534529092093
13,X,13001,23000,7.874869784310676e-05,0.000330623588660994,-1.8371487048950776
14,X,14001,24000,0.00015512410307769525,0.0004099732499396326,-1.5490261645428023
15,X,15001,25000,0.0004923057936703493,0.0006744721208684279,-0.71370316684218
16,X,16001,26000,0.0007974088600199093,0.0009389709917972229,-0.4096818613171902
17,X,17001,27000,0.0009542560469340376,0.0012299197498188978,-0.6198961753883323
18,X,18001,28000,0.0010225462668412612,0.0014018440159226145,-0.7537139897240801
19,X,19001,29000,0.001149067117948312,0.0016927927739442893,-0.9027923792531976
20,X,20001,30000,0.0013321138148161562,0.002023416362605283,-0.9671719959264949
21,X,21001,31000,0.0013675909796537153,0.0021821156851625605,-1.0595377522148128
22,X,22001,32000,0.0014191908661845254,0.002142440854523241,-0.9576193784035141
23,X,23001,33000,0.00166958310356683,0.002644988709287952,-1.0531322475150267
24,X,24001,34000,0.0017945837840935308,0.0028301379189381087,-1.0468989571468588
25,X,25001,35000,0.0016346967844794676,0.0028565878060309883,-1.2241450981927133
26,X,26001,36000,0.0015487401111963046,0.002816912975391669,-1.2879221789897135
