,chrom,start,end,pi,theta,td
0,X,1,1000,0.0001701222753854333,0.00013224943546439761,
1,X,1001,2000,0.0,0.0,
2,X,2001,3000,0.0,0.0,
3,X,3001,4000,0.0,0.0,
4,X,4001,5000,0.0,0.0,
5,X,5001,6000,0.0007835668742875434,0.0014547437901083736,-0.9345638353105697
6,X,6001,7000,0.0019142196322584244,0.002644988709287952,-0.6405323483421119
7,X,7001,8000,0.0005829423885558165,0.002380489838359157,-1.714928122480311
8,X,8001,9000,0.0004979548549111967,0.0015869932255727713,-1.4215296439507843
9,X,9001,10000,0.001573484531017224,0.0018514920965015664,-0.32288716527197003
10,X,10001,11000,0.00165668480370181,0.003041737015681145,-1.082761680368454
11,X,11001,12000,0.00114786237998569,0.0022482404028947595,-1.0985810425036393
12,X,12001,13000,0.0012054873936914992,0.0038352336284675306,-1.692253080544236
13,X,13001,14000,1.178172255095332e-05,0.00013224943546439761,
14,X,14001,15000,0.000367773016019328,0.0005289977418575905,-0.44552236645111526
15,X,15001,16000,8.438582383072295e-05,0.00026449887092879523,
16,X,16001,17000,0.0,0.0,
17,X,17001,18000,7.130079223102479e-06,0.00013224943546439761,
18,X,18001,19000,2.3950346841913107e-05,0.00013224943546439761,
19,X,19001,20000,0.0,0.0,
20,X,20001,21000,0.00021383858940469518,0.0007934966127863856,-1.2339033369791712
21,X,21001,22000,7.862740056035262e-05,0.001322494354643976,-1.8569965659007697
22,X,22001,23000,0.0,0.0,
23,X,23001,24000,0.0007755357748968384,0.0009257460482507832,-0.28821634066545687
24,X,24001,25000,0.0037395899219458692,0.0031739864511455425,0.42682867753740167
25,X,25001,26000,0.0031354164873263228,0.002909487580216747,0.18321033676577736
26,X,26001,27000,0.0015684718691412857,0.002909487580216747,-1.087456860556471
27,X,27001,28000,0.0006900322782953334,0.0018514920965015664,-1.3489577797084427
28,X,28001,29000,0.0012891588579124233,0.003041737015681145,-1.3700743225924132
29,X,29001,30000,0.0018304669686784404,0.0033062358866099402,-1.0764101762976226
30,X,30001,31000,0.0005686102377802859,0.002380489838359157,-1.7286015353425275
31,X,31001,32000,0.0005946262658684555,0.0009257460482507832,-0.6353369171714552
32,X,32001,33000,0.0025039223738230446,0.005025478547647109,-1.2841655502093614
33,X,33001,34000,0.0020255425801638475,0.00277723814475235,-0.6332372898437909
34,X,34001,35000,0.0021407199258052356,0.0034384853220743375,-0.9159636743792784
35,X,35001,36000,0.0022758497544946954,0.0025127392738235545,-0.2164194491908773
36,X,36001,37000,0.0006751911257689321,0.0015869932255727713,-1.1901818606265775
37,X,37001,38000,0.002933549495870131,0.002644988709287952,0.2529287624214313
38,X,38001,39000,0.002500953204904609,0.00277723814475235,-0.23274572150710013
39,X,39001,40000,0.0014304044760475245,0.002380489838359157,-0.9064173002851018
